"單位名稱","地址_縣市","地址_鄉鎮市區","地址","設立地址","機構狀態","服務類型","評鑑等級","未評鑑原因","電話","傳真","單位網址","單位電子信箱","服務可提供量","員工資訊","許可_總床數","護理人員_合計","醫事人員_合計",
"享庚護理之家","高雄市","大社區","中華路14巷91號","高雄市大社區中華路14巷91號","02","一般護理之家","<year=104&class=3>","","07-3531665","07-3553366","https://m.facebook.com/profile.php?id=478539152304073","li660927@gmail.com","True","","46","5","0",
"頤安護理之家","高雄市","大社區","觀音里金龍路３２４號","高雄市大社區觀音里金龍路３２４號","02","一般護理之家","<year=103&class=2>","","07 3531616","無","https://m.facebook.com/%E9%A0%A4%E5%AE%89%E8%AD%B7%E7%90%86%E4%B9%8B%E5%AE%B6-100126883654114/","lucky221076682@yahoo.com.tw","True","","49","3","0",
"長青護理之家","高雄市","仁武區","大灣里八德南路606號","高雄市仁武區大灣里八德南路606號","02","一般護理之家","<year=102&class=3>","","07-3756789","07-3755000","無","cheng.cing@msa.hinet.net","True","","75","7","0",
"澄園護理之家","高雄市","仁武區","赤山里赤吉街39號1-2樓","高雄市仁武區赤山里赤吉街39號1-2樓","02","一般護理之家","<year=104&class=4>","","07-3731012","07-3731027","https://m.facebook.com/ChengYuanHuLiZhiJia/","soup7022717@kimo.com","True","","60","5","0",
"長青護理之家","高雄市","仁武區","大灣里八德南路606號","高雄市仁武區大灣里八德南路606號","02","一般護理之家","<year=102&class=3>","","07-3756789","07-3755000","http://www.3756789.com/index.asp","cheng.cing@msa.hinet.net","True","","99","7","1",
"澄清湖護理之家","高雄市","仁武區","大灣里八德南路600號","高雄市仁武區大灣里八德南路600號","02","一般護理之家","<year=103&class=3>","","07-3716789","無","http://www.3756789.com/index.asp","cheng.cing@msa.hinet.net","True","","99","7","0",
"聖翁護理之家","高雄市","仁武區","八德一路108號","高雄市仁武區八德一路108號","02","一般護理之家","<year=104&class=3>","","07-3726258","無","https://www.facebook.com/%E8%81%96%E7%BF%81%E8%AD%B7%E7%90%86%E4%B9%8B%E5%AE%B6-1479833628951048/","a3726258@yahoo.com.tw","True","","78","6","0",
"惠心護理之家","高雄市","鳥松區","圓山路三十一號","高雄市鳥松區圓山路三十一號","02","一般護理之家","<year=104&class=2>","","07-2719679","無","http://hhnh.com.tw/","hh3700123@gmail.com","True","","209","5","0",
"長欣護理之家","彰化縣","伸港鄉","濱海路51巷12號","彰化縣伸港鄉濱海路51巷12號","02","一般護理之家","<year=104&class=1>","","7995888","04-7989877","http://changxin.myweb.hinet.net/","henry880315s@yahoo.com.tw","True","","99","9","0",
"仁得護理之家","彰化縣","福興鄉","大崙村大崙街7-11號","彰化縣福興鄉大崙村大崙街7-11號","02","一般護理之家","<year=103&class=3>","","0987-210988","無","無","babuzagrace@gmail.com","True","","98","6","0",
"穩祥護理之家","彰化縣","福興鄉","社尾村社尾街5-59號","彰化縣福興鄉社尾村社尾街5-59號","02","一般護理之家","<year=103&class=2>","","04-7760685","04-7752062","www.win-siang.com.tw/","wen_xiang88@yahoo.com.tw","True","","65","8","0",
"仁堡護理之家","彰化縣","花壇鄉","中庄村中山路1段40巷66.76.78號","彰化縣花壇鄉中庄村中山路1段40巷66.76.78號","02","一般護理之家","<year=104&class=2>","","04-7870726","04-7870732","無","shangtex@ms36.hinet.net","True","","212","20","1",
"宜信護理之家","彰化縣","花壇鄉","北口村口庄街592號","彰化縣花壇鄉北口村口庄街592號","02","一般護理之家","<year=102&class=1>","","04-7879168","04-7879188","www.esnhome.com.tw","linchia0325@yahoo.com.tw","True","","96","10","0",
"安歆護理之家","彰化縣","花壇鄉","花壇村福德巷中正路355號","彰化縣花壇鄉花壇村福德巷中正路355號","02","一般護理之家","<year=104&class=3>","","04-7882595","04-7883419","http://blog.xuite.net/yvonne500001/ANH/62913368","anshin88@pchome.com.tw","True","","60","5","0",
"衛生福利部臺東醫院附設護理之家","臺東縣","臺東市","五權街一號","臺東縣台東市五權街一號","02","一般護理之家","<year=104&class=3>","","089324112","089-327394","無","bow9101@yahoo.com.tw","True","","112","10","0",
"東基醫療財團法人附設迦南護理之家","臺東縣","臺東市","寧波街195號","臺東縣台東市寧波街195號","02","一般護理之家","<year=104&class=2>","","089-323362","089-960225","無","a01173@tch.org.tw","True","","168","14","1",
"衛生福利部臺東醫院附設成功海景之家","臺東縣","成功鎮","中山東路32號5樓","臺東縣成功鎮中山東路32號5樓","02","一般護理之家","<year=104&class=2>","","089-854748","089-854737","無","meiling@tait.mohw.gov.tw","True","","60","","",
"衛生福利部花蓮醫院附設護理之家","花蓮縣","花蓮市","中正路600號","花蓮縣花蓮市中正路600號","02","一般護理之家","<year=104&class=1>","","03-8358141","03-8882402","http://www.hwln.mohw.gov.tw/","yhlien@email.hwln.mohw.gov.tw","True","","134","10","0",
"名揚護理之家","花蓮縣","花蓮市","中原路410號","花蓮縣花蓮市中原路410號","02","一般護理之家","<year=104&class=4>","","03-8322785","03-8322795","無","u322785@gmail.com","True","","45","5","1",
"國軍花蓮總醫院附設民眾診療服務處附設一般護理之家","花蓮縣","新城鄉","嘉里村嘉里路163號","花蓮縣新城鄉嘉里村嘉里路163號","02","一般護理之家","<year=104&class=2>","","03-8263151","03-8261370","http://805.mnd.gov.tw/805nursing/index.html","無","True","","74","7","0",
"惠川醫院附設護理之家","高雄市","岡山區","岡山路92號5-7樓","高雄市岡山區岡山路92號5-7樓","02","一般護理之家","<year=103&class=3>","","07-6229292#1800","07-6213885","http://www.etan.com.tw/huide_hosp/big5/site_item_list_5.php?site_map_item_id=79","hshp.d0401@msa.hinet.net","True","","90","6","0",
"嘉修護理之家","高雄市","岡山區","岡山路434號1樓","高雄市岡山區岡山路434號1樓","02","一般護理之家","<year=103&class=3>","","07-6222837","無","http://www.joysure.com.tw","joysure_nh@yahoo.com.tw","True","","21","5","0",
"秀傳護理之家","高雄市","岡山區","岡山路530號","高雄市岡山區岡山路530號","02","一般護理之家","<year=104&class=3>","","07-6224308","無","www.sixheartnh888.com.tw/home.htm","sixheartnh888@yahoo.com.tw","True","","85","7","0",
"劉嘉修醫院附設護理之家","高雄市","岡山區","岡山路426.428號4、5樓","高雄市岡山區岡山路426.428號4、5樓","02","一般護理之家","<year=104&class=2>","","07-6222836","無","http://www.joysure.com.tw","h350214@yahoo.com.tw","True","","45","7","0",
"良成護理之家","彰化縣","員林鎮","新義街85號1樓","彰化縣員林鎮新義街85號1樓","02","一般護理之家","<year=104&class=2>","","04-8397556","04-8397557","http:lun-shin.myweb.hinet.net/index_Liang.Cheng.htm","liangcheng04@yahoo.com.tw","True","","34","3","0",
"和安護理之家","彰化縣","員林鎮","員水路一段580巷25號","彰化縣員林鎮員水路一段580巷25號","02","一般護理之家","<year=103&class=3>","","04-8390453","無","無","joy9967@yahoo.com.tw","True","","72","4","1",
"松和護理之家","高雄市","燕巢區","角宿里中興路952","高雄市燕巢區角宿里中興路952號1-2樓","02","一般護理之家","<year=104&class=1>","","07-6140507","07-6140562","https://www.facebook.com/d6140507","y650831@ms72.hinet.net","True","","94","10","2",
"永祥護理之家","高雄市","梓官區","公館路49號1-7樓","高雄市梓官區公館路49號1-7樓","02","一般護理之家","<year=104&class=3>","","07-6105785","無","http://ap56.sundaking.com/front/bin/home.phtml","ys6105785@gmail.com","True","","68","6","0",
"衛生福利部旗山醫院附設護理之家","高雄市","旗山區","東新街25巷8號2樓","高雄市旗山區東新街25巷8號2樓","02","一般護理之家","<year=104&class=1>","","07-6613811","無","http://www.chis.mohw.gov.tw/?aid=52&pid=98","a098799@chis.mohw.gov.tw","True","","49","7","0",
"博愛醫院附設護理之家","高雄市","旗山區","延平一路689號3、5樓","高雄市旗山區延平一路689號3、5樓","02","一般護理之家","<year=104&class=3>","","07-6623556","無","http://google.so-buy.com","t_soso2580@yahoo.com.tw","True","","31","4","0",
"怡仁護理之家","高雄市","旗山區","旗南一路373號","高雄市旗山區旗南一路373號","02","一般護理之家","<year=104&class=3>","","07-6618649","無","http://www.chis.mohw.gov.tw/?aid=52&pid=98","t0930486012@yahoo.com.tw","True","","45","4","0",
"廣聖醫療社團法人附設廣聖護理之家","高雄市","旗山區","復新北街10號2樓","高雄市旗山區復新北街10號2樓","02","一般護理之家","<year=103&class=2>","","07-6622391","無","http://www.cs-gsh.com.tw/護理之家/index.html","guangsheng.nh168@gmail.com","True","","50","4","0",
"新北市私立佳和護理之家","新北市","板橋區","江寧路3段29號2樓","新北市板橋區江寧路3段29號2樓","02","一般護理之家","<year=104&class=2>","","02-22552648","02-22552652","http://www.jiahe-nursing.com.tw/aa02010.php","a0955667204@gmail.com","True","","89","9","0",
"佳合護理之家","新北市","板橋區","江寧路3段29號3樓、29號4樓、39號3樓及39號4樓","新北市板橋區江寧路3段29號3樓、29號4樓、39號3樓及39號4樓","02","一般護理之家","<year=104&class=2>","","02-22552648","02-22580252","http://www.jiahe-nursing.com.tw/aa02010.php","a22552648@gmail.com","True","","99","8","0",
"惠群護理之家","新北市","板橋區","四川路一段159號1~7樓","新北市板橋區四川路一段159號1~7樓","02","一般護理之家","<year=103&class=3>","","02-29611967","02-89520058","http://www.hhfamily.com.tw/","hhfamily8558@gmail.com","True","","60","5","0",
"新翔護理之家","新北市","板橋區","大觀路三段236號5樓、5樓之2、5樓之3","新北市板橋區大觀路三段236號5樓、5樓之2、5樓之3","02","一般護理之家","<year=103&class=3>","","02-26846699","02-26823183","http://www.shinsiang.com.tw/","popomama123@yahoo.com.tw","True","","50","5","0",
"私立健安護理之家","新北市","板橋區","民權路174號1-6樓、174號3樓之1、174號4樓之1","新北市板橋區民權路174號1-6樓、174號3樓之1、174號4樓之1","02","一般護理之家","<year=104&class=3>","","02-22721166","02-89659209","http://www.nursing365.tw/","ch22721166@yahoo.com.tw","True","","59","6","0",
"祥蕙護理之家","新北市","板橋區","廣和街100號、100號2樓至5樓、102號","新北市板橋區廣和街100號、100號2樓至5樓、102號","02","一般護理之家","<year=104&class=3>","","02-29646585","02-29566793","http://www.shineway.tw/","shineway7431011421@yahoo.com.tw","True","","46","4","0",
"私立居易護理之家","新北市","板橋區","漢生東路163號3樓、3樓之1","新北市板橋區漢生東路163號3樓、3樓之1","02","一般護理之家","<year=103&class=3>","","02-29563232","02-29622525","http://www.tws999.com.tw/jiyi/","anne0913209068@yahoo.com.tw","True","","42","5","0",
"新北市私立迦南護理之家","新北市","板橋區","南雅南路1段55號3至4樓","新北市板橋區南雅南路1段55號3至4樓","02","一般護理之家","<year=103&class=2>","","02-26825188","02-29661960","http://caleb.org.tw/canaan_cb/","c30316998@yahoo.com.tw","True","","56","5","0",
"臺北縣私立廣權護理之家","新北市","板橋區","廣權路6號2樓、5樓","新北市板橋區廣權路6號2樓、5樓","02","一般護理之家","<year=104&class=2>","","02-89514435","02-89516136","http://www.nurse.url.tw/","lun.ya@msa.hinet.net","True","","30","4","0",
"新北市立聯合醫院附設護理之家","新北市","板橋區","英士路198號5樓","新北市板橋區英士路198號5樓","02","一般護理之家","<year=104&class=2>","","02-22575151","02-22584097","http://www.ntch.ntpc.gov.tw/_file/1395/SG/28941/D.html","ao0961@ntpc.gov.tw","True","","44","7","0",
"慈馨護理之家","新北市","板橋區","館前東路96號2樓、98號2樓之4","新北市板橋區館前東路96號2樓、98號2樓之4","02","一般護理之家","<year=104&class=2>","","02-29524388","02-29597885","http://www.cihsin.com.tw/","cixin999@yahoo.com.tw","True","","48","6","0",
"海山護理之家","新北市","板橋區","漢生東路163號4樓、4樓之1、5樓、5樓之1","新北市板橋區漢生東路163號4樓、4樓之1、5樓、5樓之1","02","一般護理之家","<year=104&class=2>","","02-29562159","02-29562159","http://www.hai-shannh.com/index.aspx?shop=high93high93&t=main","ucs577089@yahoo.com.tw","True","","86","8","0",
"新北市私立至傑護理之家","新北市","板橋區","和平路14巷9號1-2樓、9之1號1樓","新北市板橋區和平路14巷9號1-2樓、9之1號1樓","02","一般護理之家","<year=103&class=1>","","02-89641787","02-89641757","http://www.seedlinglife.com/","seedling57@gmail.com","True","","58","7","0",
"新北市私立迦勒護理之家","新北市","板橋區","大觀路3段236號4樓","新北市板橋區大觀路3段236號4樓","02","一般護理之家","<year=103&class=2>","","02-26822333","02-26822333","http://caleb.org.tw/caleb_cd/","treemen32@yahoo.com.tw","True","","95","7","0",
"祥寶尊榮護理之家","新北市","板橋區","大觀路3段236號6樓、6樓之1、6樓之2、6樓之3、6樓之4、6樓之5、6樓等、6樓之1等、6樓之3等","新北市板橋區大觀路3段236號6樓、6樓之1、6樓之2、6樓之3、6樓之4、6樓之5、6樓等、6樓之1等、6樓之3等","02","一般護理之家","<year=102&class=2>","","02-26876363","02-26877575","無","gsnh0624@gmail.com","True","","99","9","0",
"佳源護理之家","新北市","板橋區","漢生東路163號2樓、2樓之1","新北市板橋區漢生東路163號2樓、2樓之1","02","一般護理之家","<year=103&class=3>","","02-29563232","02-29622525","http://www.tws999.com.tw/jiyi/","shwu420831@yahoo.com.tw","True","","46","4","0",
"惠群護理之家","新北市","板橋區","四川路一段159號1~7樓","新北市板橋區四川路一段159號1~7樓","02","一般護理之家","<year=103&class=3>","","02-29611967","02-89520058","無","hhfamily8558@gmail.com","True","","94","9","0",
"三和護理之家","新北市","三重區","三和路四段103之2號4、6、7樓","新北市三重區三和路四段103之2號4、6、7樓","02","一般護理之家","<year=104&class=2>","","02-22872000","02-22873000","無","san22872000@yahoo.com.tw","True","","93","7","0",
"私立大愛護理之家","新北市","三重區","三和路4段103之1號1樓-3樓","新北市三重區三和路4段103之1號1樓-3樓","02","一般護理之家","<year=103&class=2>","","02-22870889","02-22870930","http://www.twnursinghome.com/","nursinghome01@gmail.com","True","","92","10","0",
"三重中興醫院附設護理之家","新北市","三重區","中興北街21號4樓","新北市三重區中興北街21號4樓","02","一般護理之家","<year=103&class=3>","","02-29991769","02-29994827","http://www.cs-hospital.org.tw/health_home01.html","hanya520@hotmail.com","True","","12","4","0",
"新興護理之家","新北市","新店區","中正路523號2-5樓","新北市新店區中正路523號2-5樓","02","一般護理之家","<year=103&class=3>","","02-82192253","02-82192252","http://www.ssing.com.tw/","fung4866@gmail.com","True","","50","5","0",
"溫昕護理之家","新北市","新店區","中正路539之3號3樓、4樓、5樓","新北市新店區中正路539之3號3樓、4樓、5樓","02","一般護理之家","<year=104&class=2>","","02-22190258","02-86672513","建構中","nh99840435@yahoo.com.tw","True","","99","10","0",
"匯安護理之家","新北市","新店區","寶興路37號2樓、3樓、3樓之1","新北市新店區寶興路37號2樓、3樓、3樓之1","02","一般護理之家","<year=104&class=2>","","02-29129020","02-29129023","無","well.love520@yahoo.com.tw","True","","59","5","0",
"私立再生護理之家","新北市","新店區","寶高路6號1樓、2樓、2樓之1、3樓、3樓之1、4樓、4樓之1","新北市新店區寶高路6號1樓、2樓、2樓之1、3樓、3樓之1、4樓、4樓之1","02","一般護理之家","<year=103&class=2>","","02-29150111","02-29183545","http://www.znh.com.tw/index.php?m=About&a=index&it=1","2nho111@gmail.com","True","","190","12","0",
"財團法人豐榮護理之家","新北市","新店區","安德街60巷26、28、30號及26號2樓、3樓、3樓之1","新北市新店區安德街60巷26、28、30號及26號2樓、3樓、3樓之1","02","一般護理之家","<year=102&class=1>","","02-22122345","02-22112505","http://www.fongzhong.com.tw/index.php","a17926@pchome.com.tw","True","","255","19","3",
"新北仁康醫院附設護理之家","新北市","新店區","安康路二段323號3樓及325號","新北市新店區安康路二段323號3樓及325號","02","一般護理之家","<year=102&class=2>","","02-22152217","02-22151327","http://www.njkh.com.tw/Default_Nursing.aspx","njkhservice@gmail.com","True","","149","10","0",
"遠東護理之家","新北市","新店區","民權路129號2樓、131號2樓、133號2樓及129號4床","新北市新店區民權路129號2樓、131號2樓、133號2樓及129號4床","02","一般護理之家","<year=103&class=2>","","02-29125488","02-29122785","http://www.homecare.url.tw/index.asp","nurse1292@gmail.com","True","","84","9","1",
"臺北縣私立慧和護理之家","新北市","新店區","中正路54巷6號2-5樓、8號2樓、8號4樓、10號4樓","新北市新店區中正路54巷6號2-5樓、8號2樓、8號4樓、10號4樓","02","一般護理之家","<year=104&class=3>","","02-29106173","02-29106328","無","ritachiu520168@gmail.com","True","","86","7","1",
"福德護理之家","新北市","新店區","中正路500號2樓、3樓、5樓、502號3樓、4樓、5樓","新北市新店區中正路500號2樓、3樓、5樓、502號3樓、4樓、5樓","02","一般護理之家","<year=103&class=2>","","02-22191818","02-22197855","http://www.fudg.url.tw/","fu_dg@yahoo.com.tw","True","","99","8","0",
"民權護理之家","新北市","新店區","民權路88-3號2樓、6樓","新北市新店區民權路88-3號2樓、6樓","02","一般護理之家","<year=104&class=3>","","02-86671476","02-82193157","無","chiurita@qq.com","True","","44","4","1",
"天主教耕莘醫療財團法人附設耕莘護理之家","新北市","新店區","中正路362號C棟1-2樓","新北市新店區中正路362號C棟1-2樓","02","一般護理之家","<year=104&class=1>","","02-22193391#65241","02-22191361","http://www.cth.org.tw/?aid=62&pid=63","TPRplan02@cth.ntpc.gov.tw","True","","60","17","0",
"國王護理之家","新北市","鶯歌區","建國路85號2樓之1","新北市鶯歌區建國路85號2樓之1","02","一般護理之家","<year=103&class=3>","","02-86781283","02-86772263","http://www.kinglife.url.tw/","a37975926@yahoo.com.tw","True","","42","3","0",
"康禾護理之家","新北市","鶯歌區","建國路85號8樓","新北市鶯歌區建國路85號8樓","02","一般護理之家","<year=104&class=3>","","02-26703636","02-86775633","無","gogo990821@gmail.com","True","","41","3","0",
"新北市私立宏祥護理之家","新北市","鶯歌區","建國路85號6樓、7樓","新北市鶯歌區建國路85號6樓、7樓","02","一般護理之家","<year=104&class=2>","","02-86774677","02-86773966","無","ruby396666@yahoo.com.tw","True","","94","7","1",
"新康福護理之家","新北市","三峽區","復興路339號1-2樓","新北市三峽區復興路339號1-2樓","02","一般護理之家","<year=104&class=1>","","02-26728691","02-26728771","http://www.newcomfort.com.tw/index.html","new.comfort@msa.hinet.net","True","","50","4","0",
"鴻欣護理之家","新北市","三峽區","三樹路168巷48號","新北市三峽區三樹路168巷48號","02","一般護理之家","<year=102&class=3>","","02-26740396","02-26740536","http://198.55.121.69/cgi-bin/big5/k/174a?q1=174av1&q65=2024199&time=23:43:28&q27=174a&q12=1","hx.nursing@msa.hinet.net","True","","196","14","1",
"新佳源護理之家","新北市","三峽區","中山路171號3樓","新北市三峽區中山路171號3樓","02","一般護理之家","<year=104&class=1>","","02-26713568","02-86715067","http://www.nowcomfort.com.tw/index_company.html","chung_0225@yahoo.com.tw","True","","99","7","1",
"新北市私立衡安護理之家","新北市","三峽區","文化路59號5樓之1、6樓之1、6樓之2、7樓之1。","新北市三峽區文化路59號5樓之1、6樓之1、6樓之2、7樓之1。","02","一般護理之家","<year=103&class=2>","","02-86711558","02-86711556","http://www.hungan.com.tw/index.html","hungan99837348@yahoo.com.tw","True","","190","17","1",
"紅樹林護理之家","新北市","淡水區","中正東路一段111巷22號1至7樓","新北市淡水區中正東路一段111巷22號1至7樓","02","一般護理之家","<year=104&class=3>","","02-26260766","02-26256900","http://www.26260766.twyh.tw/","a26260766@yahoo.com.tw","True","","57","5","0",
"財團法人基督長老教會馬偕紀念醫院淡水分院附設護理之家","新北市","淡水區","民生路45號","新北市淡水區民生路45號","02","一般護理之家","<year=104&class=1>","","02-28094661","02-28095400","http://www.mmh.org.tw/taitam/nursi/nursi.asp","mmhnh@mmh.org.tw","True","","155","10","0",
"新北市私立恩典護理之家","新北市","汐止區","福德路38號3樓、3樓之1","新北市汐止區福德路38號3樓、3樓之1","02","一般護理之家","<year=103&class=2>","","02-26957177","02-26957167","http://www.godgrace221.com/page.html","godgrace221@yahoo.com.tw","True","","44","6","1",
"佳醫護理之家","新北市","汐止區","茄苳路296號1-6樓","新北市汐止區茄苳路296號1-6樓","02","一般護理之家","<year=102&class=3>","","02-86486672","02-86486678","http://www.abhnh.com.tw/","service.abh@gmail.com","True","","183","14","2",
"臺北縣私立誠泰護理之家","新北市","汐止區","勤進路83巷5號1樓","新北市汐止區勤進路83巷5號1樓","02","一般護理之家","<year=104&class=4>","","02-26429955","02-26490077","http://www.ct.url.tw/index.html","ct.nursing@msa.hinet.net","True","","42","7","0",
"國泰醫療財團法人附設汐止護理之家","新北市","汐止區","建成路59巷2號10、11樓","新北市汐止區建成路59巷2號10、11樓","02","一般護理之家","<year=104&class=1>","","02-26482121#6132","02-26482122","http://sijhih.cgh.org.tw/tw/content/depart/home/","D5110@cgh.com.tw","True","","74","13","0",
"瑞芳礦工醫院附設護理之家","新北市","瑞芳區","一坑路71之2號2樓","新北市瑞芳區一坑路71之2號2樓","02","一般護理之家","<year=102&class=3>","","02-24974101#601","02-24960462","http://www.瑞芳礦工醫院.tw/9.html","vive@ms4.hinet.net","True","","22","4","0",
"私立承康護理之家","新北市","土城區","中央路二段191號4樓、4樓之1及中正路1號4樓","新北市土城區中央路二段191號4樓、4樓之1及中正路1號4樓","02","一般護理之家","<year=104&class=2>","","02-82620127","02-82621291","http://cknh.myweb.hinet.net/","ming10675236@gmail.com","True","","74","5","0",
"同仁醫院附設土城護理之家","新北市","土城區","中央路四段127號1至8樓、2樓之1至8樓之1","新北市土城區中央路四段127號1至8樓、2樓之1至8樓之1","02","一般護理之家","<year=103&class=2>","","02-22673230","02-22675246","建構中","Hamu1109h@yahoo.com.tw","True","","99","8","0",
"新北市私立木新居護理之家","新北市","土城區","清水路114號3、4、5樓","新北市土城區清水路114號3、4、5樓","02","一般護理之家","<year=103&class=3>","","02-22740855","02-22740857","http://mushge.myweb.hinet.net/map.htm","mushge.nushom@msa.hinet.net","True","","67","9","0",
"元復醫院附設護理之家","新北市","土城區","慶樂街25號1、2、3樓","新北市土城區慶樂街25號1、2、3樓","02","一般護理之家","<year=102&class=2>","","02-82627199","02-82626577","http://www.youngfore-nursinghome.com.tw/","nursing.centers@msa.hinet.net","True","","65","9","0",
"臺北縣私立健生護理之家","新北市","土城區","中華路1段14號1、2、3樓","新北市土城區中華路1段14號1、2、3樓","02","一般護理之家","<year=104&class=2>","","02-22631588","02-22632568","http://www.nursing365.tw/","ch22721166@yahoo.com.tw","True","","89","9","0",
"新北市私立捷安護理之家","新北市","蘆洲區","中山一路300號1至3樓","新北市蘆洲區中山一路300號1至3樓","02","一般護理之家","<year=103&class=2>","","02-22829859","02-22829897","http://www.guannenn.org.tw/jiean/index_about.asp","cannylin@gmail.com","True","","83","7","0",
"蓮心護理之家","新北市","蘆洲區","環堤大道116號1-5樓","新北市蘆洲區環堤大道116號1-5樓","02","一般護理之家","<year=102&class=3>","","02-22827399","02-82828829","http://www.lianshin.com/","yahui@lianshin.com","True","","49","6","0",
"私立三民護理之家","新北市","蘆洲區","三民路26巷51號1樓、2樓","新北市蘆洲區三民路26巷51號1樓、2樓","02","一般護理之家","<year=104&class=3>","","02-22886211、02-22885959","02-22886333","無","s22885959@yahoo.com.tw","True","","74","6","2",
"臺北縣私立佳欣護理之家","新北市","蘆洲區","永安北路2段76巷15號、15號2樓、3樓、4樓","新北市蘆洲區永安北路2段76巷15號、15號2樓、3樓、4樓","02","一般護理之家","<year=104&class=3>","","02-22823713","02-22853213","http://www.tws999.com.tw/jiaxin/","geqian1219@gmail.com","True","","95","8","0",
"新北市私立尚承護理之家","新北市","五股區","成泰路4段10號3樓、3樓之1、3樓之4","新北市五股區成泰路4段10號3樓、3樓之1、3樓之4","02","一般護理之家","<year=103&class=2>","","02-22917171","02-22917616","http://sun.isenai.com/Default.aspx","sun22917171@gmail.com","True","","52","6","0",
"私立承芯護理之家","新北市","泰山區","新北大道六段397號3樓、409號3樓、411號3樓","新北市泰山區新北大道六段397號3樓、409號3樓、411號3樓","02","一般護理之家","<year=104&class=2>","","02-29076767","02-29012166","http://chnh.weebly.com/","t660914@gmail.com","True","","40","4","0",
"宏十字護理之家","新北市","深坑區","北深路三段99至105號7、8樓","新北市深坑區北深路三段99至105號7、8樓","02","一般護理之家","<year=104&class=2>","","02-26626893","02-26647229","http://www.tpcrc.url.tw/hong_shi_zi_hu_li_zhi_jia/shou_ye.html","a49877920@gmail.com","True","","86","7","0",
"詠靜護理之家","新北市","深坑區","北深路3段99、101、103、105號3、4樓","新北市深坑區北深路3段99、101、103、105號3、4樓","02","一般護理之家","<year=104&class=2>","","02-26621620","02-26621625","http://www.oo.com.tw/about/index.aspx?shop=YJNH","cancer703kimo@yahoo.com.tw","True","","99","8","1",
"私立雙園長青護理之家","新北市","石門區","老梅里7股12-6號","新北市石門區老梅里7股12-6號","02","一般護理之家","<year=104&class=3>","","02-26383361","02-26383364","http://www.shunya.com.tw/","synhouse@gmail.com","True","","54","6","0",
"八里同仁護理之家","新北市","八里區","賢二街10號1樓至3樓、10之1號1樓","新北市八里區賢二街10號1樓至3樓、10之1號1樓","02","一般護理之家","<year=104&class=1>","","02-26195625","02-26195663","http://tjh.org.tw/article15/article.php?PHPSESSID=40b4fe43111f7d9275484fe7c2704c87","balitj5662@gmail.com","True","","44","5","0",
"八里佳醫護理之家","新北市","八里區","觀海大道185號、185號2樓之1","新北市八里區觀海大道185號、185號2樓之1","02","一般護理之家","<year=104&class=1>","","02-26104913","02-26100413","無","abhnh.bl@gmail","True","","165","15","2",
"佶園護理之家","臺中市","中區","柳川東路三段33號2、3樓","臺中市中區柳川東路三段33號2、3樓","02","一般護理之家","<year=104&class=2>","","04-22209785","04-22215957","無","see_fish@yahoo.com.tw","True","","25","6","0",
"台中市私立健德護理之家","臺中市","中區","民權路188、190號","臺中市中區民權路188、190號","02","一般護理之家","<year=102&class=2>","","04-22200902","04-22207097","無","1278686@yahoo.com.tw","True","","128","10","0",
"台中市德康護理之家","臺中市","東區","玉皇街63號6、7樓","臺中市東區玉皇街63號6、7樓","02","一般護理之家","<year=104&class=1>","","04-22154179","04-22126775","無","drc@ms65.url.com.tw","True","","28","3","0",
"毓祥護理之家","臺中市","東區","六順路7號","臺中市東區六順路7號","02","一般護理之家","<year=104&class=2>","","04-22805539","04-22805286","無","yuhsiangdali@hotmail.com","True","","120","9","0",
"家園護理之家","臺中市","東區","東門路165號","臺中市東區東門路165號","02","一般護理之家","<year=104&class=2>","","04-22817088","04-22810081","無","familyhome88@gmail.com","True","","182","15","1",
"南丁格爾護理之家","臺中市","南區","福田三街161-1號2、4樓；161-2號1、3樓","臺中市南區福田三街161-1號2、4樓；161-2號1、3樓","02","一般護理之家","<year=103&class=2>","","04-22632899","04-22658380","無","jaimejaime77@yahoo.com.tw","True","","128","8","1",
"臺中護理之家","臺中市","南區","正義街一六一號","臺中市南區正義街一六一號","02","一般護理之家","<year=104&class=3>","","04-22861933","04-22861933","無","wuh35088868@yahoo.com.tw","True","","60","4","0",
"宏恩醫院附設護理之家","臺中市","南區","南平路31-2號4~9樓","臺中市南區南平路31-2號4~9樓","02","一般護理之家","<year=104&class=2>","","04-22615150","04-22609838","無","hongen3123@yahoo.com.tw","True","","73","8","0",
"衛生福利部雙和醫院附設護理之家（委託臺北醫學大學興建經營）","新北市","中和區","中正路291號15樓","新北市中和區中正路291號15樓","02","一般護理之家","<year=104&class=2>","","02-22490088","02-66213665","http://www.shh.org.tw/ie8/","10061@s.tmu.edu.tw","True","","98","19","0",
"隆泰護理之家","新北市","中和區","中正路752號754號2樓","新北市中和區中正路752號754號2樓","02","一般護理之家","<year=103&class=2>","","02-22216233","02-82281662","http://www.shang-ci.tw/cgi-bin/big5/k/374g?q1=374gv1&q65=2028399&q27=374g&q35=20150303142703&q12=1","bin9489@yahoo.com.tw","True","","48","4","0",
"祥禾護理之家","新北市","中和區","中正路774號7樓","新北市中和區中正路774號7樓","02","一般護理之家","<year=104&class=5>","","02-22222933","02-22222033","無","ae4799@yahoo.com.tw","True","","16","3","0",
